code;emmision;free_float;count_deals;weekly_volume;spread;rank;Фрий-флоут;сделки ;оборот;спред;Текущ Софикс
SFA;Софарма АД-София;160642033;1449;160023;0.0542;7;1;3;1;2;SFA
ATER;Адванс Терафонд АДСИЦ-София;102599719;1344;69618;0.0444;15;3;6;5;1;ATER
DUH;Доверие Обединен Холдинг АД-София;55733918;2099;127352;0.0649;16;8;1;2;5;DUH
;;;;;;;;;;;
CHIM;Химимпорт АД-София;51940098;1813;53972;0.0891;26;10;2;8;6;CHIM
BREF;Фонд за недвижими имоти България АДСИЦ-София;49219319;1164;64743;0.0601;30;11;8;7;4;BREF
FIB;ТБ Първа Инвестиционна Банка АД-София;29535000;1354;52392;0.0982;37;15;5;9;8;FIB
EUBG;Еврохолд България АД-София;146648068;655;105903;0.2007;38;2;12;3;21;EUBG
ALB;Албена АД-к.к. Албена;35806484;693;65136;0.1407;44;13;11;6;14;
EAC;Елана Агрокредит АД-София;27599413;541;30793;0.0567;45;16;13;13;3;EAC
HVAR;Холдинг Варна АД-Варна;78471400;263;15580;0.108;48;4;18;17;9;HVAR
CCB;ТБ Централна кооперативна банка АД-София;22451967;1390;31388;0.1444;49;17;4;12;16;CCB
SGH;Сирма Груп Холдинг АД-София;17188430;870;51564;0.115;51;22;9;10;10;SGH
GR6;Градус АД-Стара Загора;65682203;410;21711;0.1581;52;6;15;14;17;GR6
T57;Трейс груп холд АД-София;20382417;511;17956;0.1344;59;18;14;15;12;T57
MSH;М+С хидравлик АД-Казанлък;63931623;196;10812;0.1747;65;7;21;18;19;
HES;Хидравлични елементи и системи АД-Ямбол;18147693;262;16487;0.1234;67;21;19;16;11;
SPH;Стара планина Холд АД-София;75867567;216;4938;0.2223;70;5;20;22;23;SPH
NEOH;Неохим АД-Димитровград;19503681;330;8232;0.1832;75;19;16;20;20;
ALCM;Алкомет АД-Шумен;11280800;309;8805;0.1601;78;24;17;19;18;
IHB;Индустриален Холдинг България АД-София;39844455;154;4742;0.2019;81;12;24;23;22;
KBG;КОРАДО БЪЛГАРИЯ АД;15867164;173;7714;0.1408;82;23;23;21;15;
HIKA;Индустриален Капитал Холдинг АД-София;18322741;175;3098;0.2637;91;20;22;25;24;
ODES;Кораборемонтен завод Одесос АД-Варна;10736996;124;3860;0.2688;100;26;25;24;25;
EMKA;ЕМКА АД-Севлиево;10875489;68;2255;0.4432;103;25;26;26;26;
