,rank,emission_bse_code_new,count_deals,spread,market_cap,weekly_volume
0,5.25,A4L,161,0.05618,108459054.8,65111.2035
1,6.25,BREF,123,0.06812953333333334,61060722.660000004,82007.108
2,6.5,EUBG,52,0.13279373333333333,157804564.48,137510.1054
3,8.0,TBS,108,0.0256738,32429241.0,132706.3792
4,10.25,CCB,231,0.05,23087400.09,37937.633
5,15.0,NEOH,100,0.12741692307692307,17616228.0,20186.1761
6,15.75,ALB,42,0.1764523076923077,43735062.6,9441.2
7,,ALCM,31,,15544410.0,25154.0341
8,,ATER,237,,140131852.79999998,180325.1106
9,,CHIM,238,,50851497.41,73520.9942
10,,DUH,236,,87168407.03999999,78551.1074
11,,EAC,45,,28413016.92,10756.8
12,,ELHM,15,,,1353.2352
13,,EMKA,25,,17146041.5,4288.218
14,,FIB,71,,29535000.0,21061.8282
15,,FZLS,43,,,78439.8432
16,,GAMZ,1,,11767230.100000001,0.0
17,,GR6,33,,64368558.449999996,26681.704
18,,HCEN,6,,14986166.399999999,1700.0
19,,HES,28,,21123326.5,3052.551
20,,HIKA,11,,26047034.4,2032.0
21,,HNVK,0,,33270180.8,0.0
22,,HRZ,38,,60377744.0,206416.0
23,,HSI,4,,42985696.0,0.0
24,,HSOF,3,,22934156.64,90.0
25,,HVAR,83,,79283565.60000001,12726.601
26,,IDH,18,,,345.9975
27,,IHB,94,,45280177.8,33972.04
28,,KBG,11,,19745804.400000002,1169.0
29,,LAV,1,,,0.0
30,,MONB,99,,41411704.4,61547.05
31,,MSH,26,,66673386.15,14392.6
32,,ODES,19,,12043614.0,1570.0
33,,PET,2,,,0.0
34,,SFA,71,,163435072.5,19539.863
35,,SFT,53,,42191572.800000004,22454.4226
36,,SGH,36,,16030230.750000002,7677.0201
37,,SKEH,0,,18886425.599999998,0.0
38,,SNRG,5,,,0.0
39,,SPH,29,,87225236.7,13525.302
40,,T57,26,,19878547.7,13827.295
41,,TOPL,1,,,0.0
42,,TXIM,1,,33410370.0,0.0
43,,YGAG,2,,,0.0
44,,ZHBG,23,,,4218.54
45,,ZLP,7,,,0.0
