,emission_bse_code_new,count_deals,rank
0,CHIM,238,0.25
1,ATER,237,0.5
2,DUH,236,0.75
3,CCB,231,1.0
4,A4L,161,1.25
5,BREF,123,1.5
6,TBS,108,1.75
7,NEOH,100,2.0
8,MONB,99,2.25
9,IHB,94,2.5
10,HVAR,83,2.75
11,SFA,71,3.0
12,FIB,71,3.0
13,SFT,53,3.5
14,EUBG,52,3.75
15,EAC,45,4.0
16,FZLS,43,4.25
17,ALB,42,4.5
18,HRZ,38,4.75
19,SGH,36,5.0
20,GR6,33,5.25
21,ALCM,31,5.5
22,SPH,29,5.75
23,HES,28,6.0
24,T57,26,6.25
25,MSH,26,6.25
26,EMKA,25,6.75
27,ZHBG,23,7.0
28,ODES,19,7.25
29,IDH,18,7.5
30,ELHM,15,7.75
31,HIKA,11,8.0
32,KBG,11,8.0
33,ZLP,7,8.5
34,HCEN,6,8.75
35,SNRG,5,9.0
36,HSI,4,9.25
37,HSOF,3,9.5
38,YGAG,2,9.75
39,PET,2,9.75
40,TXIM,1,10.25
41,GAMZ,1,10.25
42,LAV,1,10.25
43,TOPL,1,10.25
44,HNVK,0,11.25
45,SKEH,0,11.25
