КОД;ИМЕ;CFI Код;ISIN;НОМИНАЛ;ВАЛУТА;БРОЙ ЦЕННИ КНИЖА;ПАЗАРЕН СЕГМЕНТ;MIC;КИД 2008
04HA;Български енергиен холдинг ЕАД-София;DBFNCR;XS1839682116;100000;EUR;6000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
0BVA;Булфинанс инвестмънт АД-София;DBFUFR;BG2100022172;900;BGN;10000;Сегмент за облигации;ZBUL;Предоставяне на други финансови услуги, без застраховане и допълнително пенсионно осигуряване, некласифицирани другаде
0DC1;Делта кредит АДСИЦ-София;DBFUFR;BG2100017156;1000;BGN;3000;Сегмент за облигации;ZBUL;Фондове за инвестиране и подобни финансови субекти 
0EA2;Елана Агрокредит АД-София;DTFUFR;BG2100014179;400;EUR;5260;Сегмент за облигации;ZBUL;Финансов лизинг
0FDD;Финанс Директ АД-София;DBFUFR;BG2100025175;1000;EUR;1300;Сегмент за облигации;ZBUL;Предоставяне на други финансови услуги, без застраховане и допълнително пенсионно осигуряване, некласифицирани другаде
0FDE;Финанс Директ АД-София;DBFUFR;BG2100016190;1000;EUR;2000;Сегмент за облигации;ZBUL;Предоставяне на други финансови услуги, без застраховане и допълнително пенсионно осигуряване, некласифицирани другаде
0GP1;Гипс АД-Кошава;DBFUFR;BG2100004121;1000;EUR;5000;Сегмент за облигации;ZBUL;Производство на вар и гипс
0PHA;Феникс Капитал Холдинг АД-София;DBFUFR;BG2100013189;1000;EUR;9000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
0SYA;Синтетика АД-София;DBFUFR;BG2100003123;650;BGN;5000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
0Z4A;Зенит Инвестмънт Холдинг АД-София;DBFUFR;BG2100018170;900;EUR;10000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
11C;Илевън Кепитъл АД-София;ESVUFR;BG1100011193;1;BGN;2301528;Сегмент акции Standard;ZBUL;Консултантска дейност по стопанско и друго управление 
16TA;Адара АД-София;DBFUFR;BG2100026173;900;BGN;15000;Сегмент за облигации;ZBUL;Друго спомагателно обслужване на стопанската дейност, некласифицирано другаде
178C;Нео Лондон Капитал АД-София;DBFUFR;BG2100007181;1000;BGN;20000;Сегмент за облигации;ZBUL;Управление на недвижими имоти 
1AZA;Азалия I ЕАД-Варна;DBFUFR;BG2100023113;791.66667;EUR;6000;Сегмент за облигации;ZBUL;Хотели и подобни места за настаняване 
1BKA;Ай Ти Софт ЕАД-София;DBFUFR;BG2100019178;1000;BGN;7000;Сегмент за облигации;ZBUL;Производство на други електрически съоръжения
229F;Елана Финансов Холдинг АД-София;DBFUFR;BG2100015192;1000;EUR;2000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
235H;235 Холдингс АД-София;ESVUFR;BG1100017174;1;BGN;5109000;Сегмент акции Standard;ZBUL;Даване под наем и експлоатация на собствени недвижими имоти
2AL2;Алтерон АДСИЦ-Варна;DBFUFR;BG2100030175;950;BGN;10000;Сегмент за облигации;ZBUL;Покупка и продажба на собствени недвижими имоти
2SLA;Специализирани логистични системи АД-София;DTFUFR;BG2100004105;600;EUR;2000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
2SLB;Специализирани логистични системи АД-София;DBFUFR;BG2100004170;1000;BGN;7500;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
3D4A;Дивелъпмънт Асетс ЕАД-София;DBFUFR;BG2100014187;1000;BGN;22000;Сегмент за облигации;ZBUL;Даване под наем и експлоатация на собствени недвижими имоти
3Z9N;Захарни заводи АД-Горна Оряховица;DBFUFR;BG2100009187;100;BGN;188288;Сегмент за облигации;ZBUL;Производство на други основни органични химични вещества
4BUA;Балканкар-Заря АД-Павликени;DBVUFR;BG2100015077;702.4;EUR;5500;Сегмент за облигации;ZBUL;Производство на други части и принадлежности за автомобили 
4CFB;ТБ Централна кооперативна банка АД-София;DCFUFR;BG2100019137;1000;EUR;12991;Сегмент за облигации;ZBUL;Друго парично посредничество
4HSA;Холдинг Света София АД-София;DBFUFR;BG2100019194;1000;BGN;20000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
4PRA;Премиер Фонд АДСИЦ-Варна;DBFUFR;BG2100024178;1000;BGN;20000;Сегмент за облигации;ZBUL;Фондове за инвестиране и подобни финансови субекти 
5BDA;Булленд инвестмънтс АДСИЦ-София;DBFUFR;BG2100011191;1000;BGN;9080;Сегмент за облигации;ZBUL;Фондове за инвестиране и подобни финансови субекти 
5CGA;СИИ Имоти АДСИЦ-София;DBFUFR;BG2100017180;1000;BGN;20000;Сегмент за облигации;ZBUL;Фондове за инвестиране и подобни финансови субекти 
5CPA;ТБ Тексим Банк АД-София;DBFUFR;BG2100007207;1000;BGN;22000;Сегмент за облигации;ZBUL;Друго парично посредничество
5CQB;Кепитъл Мениджмънт АДСИЦ-София;DBFUFR;BG2100003180;1000;EUR;12000;Сегмент за облигации;ZBUL;Фондове за инвестиране и подобни финансови субекти 
5EKA;Екип-98 Холдинг АД-София;DBFUFR;BG2100002174;750;BGN;10000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
5L3A;Черноморски Холдинг АД-Бургас;DBFUFR;BG2100006191;1000;BGN;20000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
5MBA;Монбат АД-София;DBFUFR;BG2100023170;1000;EUR;28015;Сегмент за облигации;ZBUL;Производство на акумулаторни батерии и акумулатори
5V2C;Холдинг Варна АД-Варна;DBFUFR;BG2100012140;500;EUR;12000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
6B6A;Булгар Чех Инвест Холдинг АД-Пловдив;DBFUFR;BG2100025191;1000;EUR;11000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
6C8A;Холдинг Център АД-София;DBFUFR;BG2100018154;600;EUR;10000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
6N31;Холдинг Нов Век АД-София;DTFUFR;BG2100015150;500;EUR;15000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
6R1A;Индъстри Дивелъпмънт Холдинг АД-София;DBFUFR;BG2100019160;800;EUR;10000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
6R2B;Родна Земя Холдинг АД-София;DBFUFR;BG2100003206;1000;BGN;30000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
6S4N;Северкооп Гъмза Холдинг АД-София;DBFUFR;BG2100008189;1000;BGN;20000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
6S5B;Сила Холдинг АД-София;DTFUFR;BG2100010102;400;EUR;10000;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
6SBA;Супер Боровец Пропърти Фонд АДСИЦ-Бургас;DBFUFR;BG2100009179;900;EUR;10000;Сегмент за облигации;ZBUL;Фондове за инвестиране и подобни финансови субекти 
6TMA;ТЕЦ Марица 3 АД-Димитровград;DBFUFR;BG2100003131;1000;BGN;4040;Сегмент за облигации;ZBUL;Производство на електрическа енергия
7A3S;Астера I ЕАД-Варна;DTFUFR;BG2100007116;280;EUR;5000;Сегмент за облигации;ZBUL;Организиране на хазартни игри 
8AVA;Астерион България АД-София;DTFUFR;BG2100006092;526.66667;EUR;7500;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
8AVB;Авто Юнион АД-София;DBFUFR;BG2100025126;779.41176;BGN;6800;Сегмент за облигации;ZBUL;Дейност на холдингови дружества
9K2F;Евролийз Ауто ЕАД-София;DBVUFR;BG2100010151;50;EUR;5800;Сегмент за облигации;ZBUL;Финансов лизинг
9M7C;Уеб Финанс Холдинг АД-София;DCFUFR;BG2100023121;900;EUR;10000;Сегмент за облигации;ZBUL;Предоставяне на други финансови услуги, без застраховане и допълнително пенсионно осигуряване, некласифицирани другаде
9RTD;ХипоКредит АД-София;DTFUFR;BG2100038079;624;EUR;6000;Сегмент за облигации;ZBUL;Други форми на предоставяне на кредит
9RTE;ХипоКредит АД-София;DBVUFR;BG2100018089;586;EUR;6605;Сегмент за облигации;ZBUL;Други форми на предоставяне на кредит
A4L;Алтерко АД-София;ESVUFR;BG1100003166;1;BGN;17999999;Сегмент акции Standard;ZBUL;Предоставяне на други финансови услуги, без застраховане и допълнително пенсионно осигуряване, некласифицирани другаде
AGH;Агрия Груп Холдинг АД-Варна;ESVUFR;BG1100085072;1;BGN;6800000;Сегмент акции Standard;ZBUL;Консултантска дейност по стопанско и друго управление 
AKTV;Актив Пропъртис АДСИЦ-Пловдив;ESVUFR;BG1100003059;9;BGN;2192011;Сегмент за дружества със специална инвестиционна цел;ZBUL;Фондове за инвестиране и подобни финансови субекти 
ALB;Албена АД-к.к. Албена;ESVUFR;BG11ALBAAT17;1;BGN;4273126;Сегмент акции Standard;ZBUL;Дейност на ресторанти и заведения за бързо обслужване
ALCM;Алкомет АД-Шумен;ESVUFR;BG11ALSUAT14;1;BGN;17952959;Сегмент акции Standard;ZBUL;Производство на алуминий 
ATER;Адванс Терафонд АДСИЦ-София;ESVUFR;BG1100025052;1;BGN;85110091;Сегмент за дружества със специална инвестиционна цел;ZBUL;Фондове за инвестиране и подобни финансови субекти 
B2GA;Бългериан Еъруейз Груп ЕАД-София;DBFUFR;BG2100018188;1000;BGN;15000;Сегмент за облигации;ZBUL;Спомагателни дейности във въздушния транспорт
B3GA;Бългериан Еъруейз Груп ЕАД-София;DBFUFR;BG2100001218;1000;BGN;15000;Сегмент за облигации;ZBUL;Спомагателни дейности във въздушния транспорт
BACB;ТБ Българо-Американска Кредитна Банка АД-София;ESVUFR;BG1100098059;1;BGN;24691313;Сегмент акции Standard;ZBUL;Друго парично посредничество
BBRD;Билборд АД-София;ESVUFR;BG1100088076;1;BGN;15000000;Сегмент акции Standard;ZBUL;Печатане на други издания и печатни продукти
BGAG;БГ Агро АД-Варна;ESVUFR;BG1100151072;1;BGN;40357440;Сегмент акции Standard;ZBUL;Дейност на холдингови дружества
BGX;БТФ Expat Bulgaria SOFIX UCITS ETF;CEOIES;BG9000011163;1;BGN;100000;Сегмент за борсово търгувани продукти;ZBUL;Фондове за инвестиране и подобни финансови субекти 
BGXS;НДФ Expat Bulgaria Short SOFIX;CIOIES;BG9000002196;1;BGN;100000;Сегмент за борсово търгувани продукти;ZBUL;Фондове за инвестиране и подобни финансови субекти 
BLKA;Министерство на финансите;DBFTFR;BG2040019213;1000;BGN;569780;Сегмент за държавни ценни книжа;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BLKB;Жилищни компенсаторни записи, издадени по ЗОСОИ;MMMXXX;BG91GKZAP073;1;BGN;32244966;Сегмент за компенсаторни инструменти;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BLKC;Поименни компенсационни бонове, издадени по ЗСПЗ и ЗВСВГЗГФ;MMMXXX;BG91PKBON071;1;BGN;228743614;Сегмент за компенсаторни инструменти;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BLKD;Компенсаторни записи, издадени по ЗОСОИ;MMMXXX;BG91ZAPIS072;1;BGN;159795204;Сегмент за компенсаторни инструменти;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BLKI;Министерство на финансите;DBFTFR;BG2040119211;1000;BGN;1000000;Сегмент за държавни ценни книжа;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BLKO;Министерство на финансите;DTFTFR;BG2030020114;1000;BGN;600000;Сегмент за държавни ценни книжа;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BLKR;Министерство на финансите;DBFTFR;BG2040012218;1000;BGN;305000;Сегмент за държавни ценни книжа;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BLKS;Министерство на финансите;DBFTFR;BG2040013216;1000;BGN;350000;Сегмент за държавни ценни книжа;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BLKT;Министерство на финансите;DBFTFR;BG2040014214;1000;BGN;380000;Сегмент за държавни ценни книжа;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BLKU;Министерство на финансите;DBFTFR;BG2040115219;1000;BGN;235000;Сегмент за държавни ценни книжа;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BLKV;Министерство на финансите;DBFTFR;BG2040015211;1000;BGN;50000;Сегмент за държавни ценни книжа;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BLKW;Министерство на финансите;DBFTFR;BG2040210218;1000;EUR;234105;Сегмент за държавни ценни книжа;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BLKX;Министерство на финансите;DBFTFR;BG2040016219;1000;BGN;300000;Сегмент за държавни ценни книжа;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BLKY;Министерство на финансите;DBFTFR;BG2040017217;1000;BGN;339500;Сегмент за държавни ценни книжа;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BLKZ;Министерство на финансите;DBFTFR;BG2040117215;1000;BGN;250000;Сегмент за държавни ценни книжа;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BLLA;Министерство на финансите;DBFTFR;BG2040021219;1000;BGN;300000;Сегмент за държавни ценни книжа;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BLLB;Министерство на финансите;DTFTFR;BG2030021112;1000;BGN;500000;Сегмент за държавни ценни книжа;ZBUL;Общофункционално управление на държавата на централно и местно равнище
BOHB;Би Джи Ай Груп АД-София;DBFUFR;BG2100011142;1000;BGN;3962;Сегмент за облигации;ZBUL;Покупка и продажба на собствени недвижими имоти
BPDW;БПД Индустриален фонд за недвижими имоти АДСИЦ-София;RWSTBE;BG9200001188;1;BGN;297000000;Сегмент за борсово търгувани продукти;ZBUL;Дейност на холдингови дружества
BPF;Браво Пропърти Фонд АДСИЦ-София;ESVUFR;BG1100016176;1;BGN;36700000;Сегмент за дружества със специална инвестиционна цел;ZBUL;Управление на недвижими имоти 
BPYC;Браво Пропърти Фонд АДСИЦ-София;DBFUFR;BG2100008197;932.5;BGN;30000;Сегмент за облигации;ZBUL;Управление на недвижими имоти 
BREF;Фонд за недвижими имоти България АДСИЦ-София;ESVUFR;BG1100001053;1;BGN;34641925;Сегмент за дружества със специална инвестиционна цел;ZBUL;Фондове за инвестиране и подобни финансови субекти 
BRF;Български фонд за вземания АДСИЦ-София;ESVUFR;BG1100001186;1;BGN;1500000;Сегмент за дружества със специална инвестиционна цел;ZBUL;Дейности по събиране на парични вземания и на финансова информация 
BRFA;Български фонд за вземания АДСИЦ-София;DBFUFR;BG2100015200;1000;BGN;20000;Сегмент за облигации;ZBUL;Дейности по събиране на парични вземания и на финансова информация 
BRP;Параходство Българско речно плаване АД-Русе;ESVUFR;BG1100100038;1;BGN;35708674;Сегмент акции Standard;ZBUL;Товарен транспорт по вътрешни водни пътища 
BSE;Българска фондова борса АД-София;ESVUFR;BG1100016978;1;BGN;6582860;Сегмент акции Standard;ZBUL;Дейност на холдингови дружества
BSP;Болкан енд Сий Пропъртис АДСИЦ-Варна;ESVUFR;BG1100099065;1;BGN;6925156;Сегмент за дружества със специална инвестиционна цел;ZBUL;Фондове за инвестиране и подобни финансови субекти 
BSSA;Блек сий стар АД-Пловдив;DBFUFR;BG2100008205;1000;EUR;4500;Сегмент за облигации;ZBUL;Управление на недвижими имоти 
BULA;Булгарплод-София АД-София;DTFUFR;BG2100012116;1000;BGN;3000;Сегмент за облигации;ZBUL;Производство и преработка на месо от домашни птици 
CAPM;Кепитъл Мениджмънт АДСИЦ-София;ESVUFR;BG1100121059;1;BGN;1758296;Сегмент за дружества със специална инвестиционна цел;ZBUL;Фондове за инвестиране и подобни финансови субекти 
CCB;ТБ Централна кооперативна банка АД-София;ESVUFR;BG1100014973;1;BGN;127129970;Сегмент акции Premium;ZBUL;Друго парично посредничество
CEZD;ЧЕЗ Разпределение България АД-София;ESVUFR;BG1100025110;1;BGN;1928000;Сегмент акции Standard;ZBUL;Разпределение на електрическа енергия
CEZE;ЧЕЗ Електро България АД-София;ESVUFR;BG1100024113;10;BGN;5000;Сегмент акции Standard;ZBUL;Търговия с електрическа енергия
CHIM;Химимпорт АД-София;ESVUFR;BG1100046066;1;BGN;239646267;Сегмент акции Premium;ZBUL;Дейност на холдингови дружества
CHSB;Химснаб България АД-София;ESVUFR;BG11EMTOAT16;1;BGN;2494631;Сегмент акции Standard;ZBUL;Даване под наем и експлоатация на собствени недвижими имоти
CZX;БТФ Expat Czech PX UCITS ETF;CEOIES;BGCZPX003174;1;EUR;60150;Сегмент за борсово търгувани продукти;ZBUL;Фондове за инвестиране и подобни финансови субекти 
DUH;Доверие Обединен Холдинг АД-София;ESVUFR;BG1100038980;1;BGN;18736099;Сегмент акции Standard;ZBUL;Дейност на холдингови дружества
E8DB;Евролийз груп АД-София;DBFUFR;BG2100012173;400;EUR;1250;Сегмент за облигации;ZBUL;Консултантска дейност по стопанско и друго управление 
E8DC;Евролийз груп АД-София;DBFUFR;BG2100001200;1000;BGN;6000;Сегмент за облигации;ZBUL;Консултантска дейност по стопанско и друго управление 
EAC;Елана Агрокредит АД-София;ESVUFR;BG1100040101;1;BGN;36629925;Сегмент акции Standard;ZBUL;Финансов лизинг
ECDC;БТФ Expat Croatia CROBEX UCITS ETF;CEOIES;BGCROEX03189;1;EUR;60000;Сегмент за борсово търгувани продукти;ZBUL;Фондове за инвестиране и подобни финансови субекти 
ED6A;Образователно-спортен комплекс Лозенец ЕАД-София;DBFUFR;BG2100011175;971.42857;BGN;7000;Сегмент за облигации;ZBUL;Даване под наем и експлоатация на собствени недвижими имоти
ELHM;Елхим Искра АД-Пазарджик;ESVUFR;BG11ELPABT16;1;BGN;25108410;Сегмент акции Standard;ZBUL;Производство на акумулаторни батерии и акумулатори
EMKA;ЕМКА АД-Севлиево;ESVUFR;BG11EMSEAT19;1;BGN;21699726;Сегмент акции Standard;ZBUL;Производство на други електрически и електронни проводници и кабели
ESNB;БТФ Expat Serbia BELEX15 UCITS ETF;CEOIES;BGSRBBE05183;1;EUR;60000;Сегмент за борсово търгувани продукти;ZBUL;Фондове за инвестиране и подобни финансови субекти 
ETR;Етропал АД-Етрополе;ESVUFR;BG1100001038;1;BGN;5000000;Сегмент акции Standard;ZBUL;Производство на медицински и зъболекарски инструменти и средства
EUBG;Еврохолд България АД-София;ESVUFR;BG1100114062;1;BGN;260500000;Сегмент акции Standard;ZBUL;Дейност на холдингови дружества
EXPR;Ексклузив Пропърти АДСИЦ-София;ESVUFR;BG1100083069;1;BGN;9452340;Сегмент за дружества със специална инвестиционна цел;ZBUL;Фондове за инвестиране и подобни финансови субекти 
FAM;Финанс Асистанс Мениджмънт АДСИЦ-София;ESVUFR;BG1100008181;1;BGN;650000;Сегмент за дружества със специална инвестиционна цел;ZBUL;Фондове за инвестиране и подобни финансови субекти 
FIB;ТБ Първа Инвестиционна Банка АД-София;ESVUFR;BG1100106050;1;BGN;149084800;Сегмент акции Premium;ZBUL;Друго парично посредничество
FORM;Формопласт АД-Кърджали;ESVUFR;BG11FOKAAT18;1;BGN;3798905;Сегмент акции Standard;ZBUL;Производство на други изделия от пластмаси
FPP;ФеърПлей Пропъртис АДСИЦ-София;ESVUFR;BG1100042057;1;BGN;33145400;Сегмент за дружества със специална инвестиционна цел;ZBUL;Фондове за инвестиране и подобни финансови субекти 
FPPW;ФеърПлей Пропъртис АДСИЦ-София;RWSTBE;BG9200001162;1;BGN;232017800;Сегмент за борсово търгувани продукти;ZBUL;Фондове за инвестиране и подобни финансови субекти 
FSPA;Финанс Секюрити Груп АД-София;DBFUFR;BG2100006159;1000;EUR;7000;Сегмент за облигации;ZBUL;Предоставяне на други финансови услуги, без застраховане и допълнително пенсионно осигуряване, некласифицирани другаде
FZLS;Фазерлес АД-Силистра;ESVUFR;BG11FASIAT18;1;BGN;515000;Сегмент акции Standard;ZBUL;Производство на фурнир и дървесни плочи
GAMZ;Северкооп Гъмза Холдинг АД-София;ESVUFR;BG1100026985;2;BGN;5347798;Сегмент акции Standard;ZBUL;Дейност на холдингови дружества
GC0N;Джи Пи Ес Контрол ЕАД-София;DTFUFR;BG2100001119;750;EUR;4000;Сегмент за облигации;ZBUL;Управление и обслужване на компютърни средства и системи 
GH0A;Грийнхаус Пропъртис АД-София;DTFUFR;BG2100017164;1000;BGN;6300;Сегмент за облигации;ZBUL;Управление на недвижими имоти 
GLDX;НБТФ Експат Голд;CEOIES;BG9000003202;1;EUR;60000;Сегмент за борсово търгувани продукти;ZBUL;Фондове за инвестиране и подобни финансови субекти 
GR6;Градус АД-Стара Загора;ESVUFR;BG1100002184;1;BGN;243608710;Сегмент акции Standard;ZBUL;Дейност на холдингови дружества
GRX;БТФ Expat Greece ASE UCITS ETF;CEOIES;BGGRASE06174;1;EUR;60150;Сегмент за борсово търгувани продукти;ZBUL;Фондове за инвестиране и подобни финансови субекти 
GTH;Инвестиционна Компания Галата АД-Варна;ESVUFR;BG1100035135;1;BGN;68571234;Сегмент акции Standard;ZBUL;Покупка и продажба на собствени недвижими имоти
HCEN;Холдинг Център АД-София;ESVUFR;BG1100080982;1;BGN;735910;Сегмент акции Standard;ZBUL;Дейност на холдингови дружества
HES;Хидравлични елементи и системи АД-Ямбол;ESVUFR;BG11HIYMAT14;1;BGN;18193752;Сегмент акции Standard;ZBUL;Производство на хидравлични помпи, хидравлични и пневматични двигатели
HIKA;Индустриален Капитал Холдинг АД-София;ESVUFR;BG1100010989;1;BGN;15864544;Сегмент акции Standard;ZBUL;Дейност на холдингови дружества
HNVK;Холдинг Нов Век АД-София;ESVUFR;BG1100058988;1;BGN;5610437;Сегмент акции Standard;ZBUL;Дейност на холдингови дружества
HRZ;Родна Земя Холдинг АД-София;ESVUFR;BG1100051983;1;BGN;56010597;Сегмент акции Standard;ZBUL;Дейност на холдингови дружества
HSI;Сила Холдинг АД-София;ESVUFR;BG1100027983;1;BGN;36852997;Сегмент акции Standard;ZBUL;Дейност на холдингови дружества
HSOF;Холдинг Света София АД-София;ESVUFR;BG1100008983;1;BGN;9940391;Сегмент акции Standard;ZBUL;Дейност на холдингови дружества
HUBE;БТФ Expat Hungary BUX UCITS ETF;CEOIES;BGHUBUX01189;1;EUR;60000;Сегмент за борсово търгувани продукти;ZBUL;Фондове за инвестиране и подобни финансови субекти 
HVAR;Холдинг Варна АД-Варна;ESVUFR;BG1100036984;1;BGN;6485897;Сегмент акции Standard;ZBUL;Дейност на холдингови дружества
IBG;Инвестор.БГ АД-София;ESVUFR;BG1100019048;1;BGN;4782362;Сегмент акции Standard;ZBUL;Web-портали 
