,bse_code_new,market_capitalization
33,SFA,162501157.8
11,EUBG,131263530.0
3,ATER,128585407.99999999
0,A4L,113503662.0
7,DUH,89900180.48
38,SPH,89699711.5
23,HVAR,80076880.39999999
29,MSH,68034067.5
15,GR6,64806439.8
20,HRZ,57453340.0
4,BREF,56165559.24
6,CHIM,45755731.49
21,HSI,42985696.0
1,ALB,41433217.199999996
34,SFT,40974508.199999996
28,MONB,40732824.0
25,IHB,36862708.849999994
42,TXIM,33410370.0
19,HNVK,33264844.799999997
40,TBS,32711032.8
12,FIB,28545000.0
8,EAC,28149933.430000003
18,HIKA,24789591.36
22,HSOF,24000861.6
39,T57,21946835.9
17,HES,21307007.599999998
5,CCB,21075195.495
26,KBG,19393200.75
36,SKEH,18886425.599999998
2,ALCM,16343836.799999999
10,EMKA,15970312.94
35,SGH,15653048.850000001
30,NEOH,15602944.8
16,HCEN,14460335.999999998
31,ODES,13066185.0
14,GAMZ,11611709.4
24,IDH,7938080.279999999
9,ELHM,5526706.35
44,ZHBG,5363771.118000001
37,SNRG,5105814.195
27,LAV,4605436.6
13,FZLS,4478250.0
45,ZLP,1184327.6400000001
41,TOPL,1127585.8
43,YGAG,1018695.0
32,PET,560937.8
