spread_id,spread_bse_code_investor,spread_date,spread
1,A4L,2021-07-22,0.05618
2,ALB,2021-07-22,0.088235
3,ALUM,2021-07-22,0.107143
4,ATERA,2021-07-22,0.039683
5,BREF,2021-07-22,0.054054
6,CCB,2021-07-22,0.05
7,CHIM,2021-07-22,0.045351
8,DOVUHL,2021-07-22,0.063158
9,0EA,2021-07-22,0.045872
10,ELHIM,2021-07-22,0
11,EMKA,2021-07-22,0
12,EUBG,2021-07-22,0.061538
13,FIB,2021-07-22,0.136729
14,FZLES,2021-07-22,0
15,GAMZA,2021-07-22,0
16,GR6,2021-07-22,0.103226
17,HCEN,2021-07-22,0
18,HES,2021-07-22,0
19,HIKA,2021-07-22,0
20,HNVEK,2021-07-22,0
21,HRZ,2021-07-22,0
22,HSI,2021-07-22,0
23,HSOF,2021-07-22,0
24,HVAR,2021-07-22,0
25,RAZHL,2021-07-22,0
26,IHLBL,2021-07-22,0.114286
27,LACH,2021-07-22,0
28,LAVEN,2021-07-22,0
29,MONBAT,2021-07-22,0.109375
30,MCH,2021-07-22,0.1125
31,NEOH,2021-07-22,0.135338
32,ODES,2021-07-22,0
33,PET,2021-07-22,0
34,SFARM,2021-07-22,0.081081
35,SFTRD,2021-07-22,0.067925
36,SKK,2021-07-22,0.122222
37,SKELN,2021-07-22,0
38,PETHL,2021-07-22,0
39,CENHL,2021-07-22,0.25
40,TRACE,2021-07-22,0.148515
41,TBS,2021-07-22,0.021739
42,TOPL,2021-07-22,0
43,5CP,2021-07-22,0
44,GAGBT,2021-07-22,0
45,ZHBG,2021-07-22,0
46,ZLP,2021-07-22,0
