Date;T10YIE;T5YIE
2003-01-02;1.64;1.3
2003-01-03;1.62;1.28
2003-01-06;1.63;1.31
2003-01-07;1.62;1.28
2003-01-08;1.71;1.33
2003-01-09;1.78;1.41
2003-01-10;1.75;1.4
2003-01-13;1.77;1.4
2003-01-14;1.76;1.38
2003-01-15;1.8;1.41
2003-01-16;1.79;1.4
2003-01-17;1.8;1.45
2003-01-20;1.8;1.45
2003-01-21;1.78;1.38
2003-01-22;1.72;1.34
2003-01-23;1.78;1.42
2003-01-24;1.8;1.46
2003-01-27;1.82;1.47
2003-01-28;1.81;1.47
2003-01-29;1.85;1.52
2003-01-30;1.8;1.46
2003-01-31;1.81;1.49
2003-02-03;1.81;1.52
2003-02-04;1.84;1.54
2003-02-05;1.9;1.61
2003-02-06;1.88;1.62
2003-02-07;1.89;1.6
2003-02-10;1.93;1.66
2003-02-11;1.93;1.62
2003-02-12;1.89;1.6
2003-02-13;1.88;1.56
2003-02-14;1.92;1.62
2003-02-17;1.92;1.62
2003-02-18;1.89;1.63
2003-02-19;1.89;1.62
2003-02-20;1.94;1.69
2003-02-21;1.97;1.73
2003-02-24;1.99;1.78
2003-02-25;1.97;1.77
2003-02-26;1.94;1.74
2003-02-27;1.94;1.77
2003-02-28;1.94;1.75
2003-03-03;1.91;1.73
2003-03-04;1.88;1.72
2003-03-05;1.88;1.68
2003-03-06;1.93;1.73
2003-03-07;1.91;1.74
2003-03-10;1.9;1.72
2003-03-11;1.92;1.76
2003-03-12;1.92;1.79
2003-03-13;2.01;1.87
2003-03-14;1.83;1.57
2003-03-17;1.85;1.67
2003-03-18;1.83;1.63
2003-03-19;1.83;1.59
2003-03-20;1.81;1.67
2003-03-21;1.82;1.7
2003-03-24;1.8;1.66
2003-03-25;1.8;1.64
2003-03-26;1.81;1.65
2003-03-27;1.85;1.71
2003-03-28;1.83;1.72
2003-03-31;1.8;1.65
2003-04-01;1.82;1.64
2003-04-02;1.83;1.66
2003-04-03;1.81;1.64
2003-04-04;1.8;1.63
2003-04-07;1.82;1.61
2003-04-08;1.77;1.57
2003-04-09;1.8;1.55
2003-04-10;1.79;1.64
2003-04-11;1.77;1.62
2003-04-14;1.82;1.66
2003-04-15;1.8;1.62
2003-04-16;1.76;1.58
2003-04-17;1.76;1.58
2003-04-18;1.76;1.58
2003-04-21;1.75;1.57
2003-04-22;1.74;1.51
2003-04-23;1.76;1.54
2003-04-24;1.71;1.46
2003-04-25;1.73;1.46
2003-04-28;1.76;1.48
2003-04-29;1.74;1.47
2003-04-30;1.73;1.45
2003-05-01;1.75;1.3
2003-05-02;1.75;1.34
2003-05-05;1.73;1.5
2003-05-06;1.67;1.42
2003-05-07;1.7;1.38
2003-05-08;1.7;1.34
2003-05-09;1.69;1.4
2003-05-12;1.68;1.37
2003-05-13;1.69;1.39
2003-05-14;1.66;1.32
2003-05-15;1.67;1.39
2003-05-16;1.62;1.31
2003-05-19;1.61;1.34
2003-05-20;1.65;1.35
2003-05-21;1.66;1.34
2003-05-22;1.63;1.3
2003-05-23;1.62;1.31
2003-05-26;1.62;1.31
2003-05-27;1.61;1.25
2003-05-28;1.61;1.23
2003-05-29;1.58;1.23
2003-05-30;1.6;1.26
2003-06-02;1.6;1.29
2003-06-03;1.58;1.25
2003-06-04;1.57;1.25
2003-06-05;1.59;1.31
2003-06-06;1.61;1.33
2003-06-09;1.61;1.32
2003-06-10;1.59;1.31
2003-06-11;1.59;1.36
2003-06-12;1.61;1.32
2003-06-13;1.62;1.37
2003-06-16;1.59;1.35
2003-06-17;1.57;1.35
2003-06-18;1.58;1.36
2003-06-19;1.61;1.39
2003-06-20;1.63;1.39
2003-06-23;1.61;1.36
2003-06-24;1.61;1.37
2003-06-25;1.67;1.45
2003-06-26;1.7;1.47
2003-06-27;1.68;1.48
2003-06-30;1.64;1.45
2003-07-01;1.64;1.45
2003-07-02;1.6;1.43
2003-07-03;1.58;1.44
2003-07-04;1.58;1.44
2003-07-07;1.6;1.44
2003-07-08;1.63;1.41
2003-07-09;1.73;1.46
2003-07-10;1.76;1.45
2003-07-11;1.78;1.42
2003-07-14;1.82;1.47
2003-07-15;1.88;1.53
2003-07-16;1.89;1.56
2003-07-17;1.93;1.57
2003-07-18;1.96;1.65
2003-07-21;1.98;1.63
2003-07-22;1.98;1.59
2003-07-23;2.01;1.67
2003-07-24;2.02;1.67
2003-07-25;2.08;1.76
2003-07-28;2.04;1.72
2003-07-29;2.04;1.7
2003-07-30;2.02;1.73
2003-07-31;2.08;1.75
2003-08-01;2.04;1.75
2003-08-04;2.01;1.72
2003-08-05;2.04;1.75
2003-08-06;1.98;1.72
2003-08-07;2.01;1.78
2003-08-08;2;1.74
2003-08-11;2.07;1.82
2003-08-12;2.08;1.81
2003-08-13;2.17;1.88
2003-08-14;2.17;1.89
2003-08-15;2.19;1.92
2003-08-18;2.16;1.88
2003-08-19;2.14;1.87
2003-08-20;2.19;1.94
2003-08-21;2.24;2.06
2003-08-22;2.22;2.05
2003-08-25;2.22;2.03
2003-08-26;2.22;2.03
